FeatureSet,Scaling,FeatureSelection,Model,Accuracy,Accuracy_std,Precision,Precision_std,Recall,Recall_std,F1_macro,F1_macro_std,AUPRC,AUPRC_std,ROC_AUC,ROC_AUC_std,F1_scores,AUPRC_scores
combined,StandardScaler,none,LogisticRegression,0.727,0.0063,0.7309,0.0049,0.7263,0.0064,0.7254,0.0068,0.7643,0.0126,0.7874,0.007,[0.7253974371413512],[0.7643419654708824]
combined,StandardScaler,MI,LogisticRegression,0.727,0.0063,0.7309,0.0049,0.7263,0.0064,0.7254,0.0068,0.7643,0.0126,0.7874,0.007,[0.7253974371413512],[0.7643419654708824]
combined,StandardScaler,Chi2,LogisticRegression,0.7276,0.0068,0.7315,0.0055,0.7269,0.0069,0.726,0.0073,0.7646,0.0124,0.7875,0.007,[0.7260340193043211],[0.7646309339541338]
combined,StandardScaler,ANOVA,LogisticRegression,0.727,0.0063,0.7309,0.0049,0.7263,0.0064,0.7254,0.0068,0.7643,0.0126,0.7874,0.007,[0.7253974371413512],[0.7643419654708824]
combined,StandardScaler,L1,LogisticRegression,0.7284,0.0084,0.7323,0.0073,0.7277,0.0085,0.7268,0.0089,0.7641,0.0124,0.7873,0.0069,[0.726779910800801],[0.7640923453353426]
combined,StandardScaler,none,SVM,0.7265,0.0054,0.7299,0.005,0.7258,0.0054,0.7251,0.0055,0.767,0.0038,0.786,0.0055,[0.7250864595299392],[0.7670193271038647]
combined,StandardScaler,MI,SVM,0.7265,0.0054,0.7299,0.005,0.7258,0.0054,0.7251,0.0055,0.767,0.0038,0.786,0.0055,[0.7250864595299392],[0.7670193271038647]
combined,StandardScaler,Chi2,SVM,0.7276,0.0046,0.7312,0.0046,0.7269,0.0046,0.7262,0.0047,0.7644,0.0075,0.7835,0.0078,[0.726151847624036],[0.764409677704797]
combined,StandardScaler,ANOVA,SVM,0.7275,0.0049,0.7313,0.0051,0.7268,0.0049,0.7259,0.005,0.7664,0.0047,0.785,0.0066,[0.7259499249271686],[0.7663671786097564]
combined,StandardScaler,none,MLP,0.7259,0.0036,0.7262,0.0038,0.7257,0.0036,0.7256,0.0036,0.7711,0.0031,0.7908,0.0016,[0.7256427945074938],[0.7710656928033605]
combined,StandardScaler,MI,MLP,0.7259,0.0036,0.7262,0.0038,0.7257,0.0036,0.7256,0.0036,0.7711,0.0031,0.7908,0.0016,[0.7256427945074938],[0.7710656928033605]
combined,StandardScaler,Chi2,MLP,0.7271,0.0063,0.728,0.0057,0.7268,0.0064,0.7266,0.0065,0.7712,0.0032,0.7908,0.0042,[0.7266085533265038],[0.7712056003211547]
combined,StandardScaler,ANOVA,MLP,0.7172,0.0095,0.7207,0.011,0.7168,0.0092,0.7158,0.0091,0.7616,0.0183,0.7845,0.0105,[0.7158478652413812],[0.7615697607770061]
combined,MinMaxScaler,none,LogisticRegression,0.7269,0.0086,0.7305,0.0077,0.7262,0.0087,0.7254,0.009,0.7629,0.0132,0.7866,0.0074,[0.7253614719764089],[0.7629036137805388]
combined,MinMaxScaler,MI,LogisticRegression,0.7269,0.0086,0.7305,0.0077,0.7262,0.0087,0.7254,0.009,0.7629,0.0132,0.7866,0.0074,[0.7253614719764089],[0.7629036137805388]
combined,MinMaxScaler,Chi2,LogisticRegression,0.7284,0.0073,0.732,0.0065,0.7277,0.0073,0.7269,0.0076,0.7637,0.0129,0.787,0.0071,[0.7269005022509522],[0.7636509253914742]
