FeatureSet,Model,Encoding,Accuracy,Accuracy_std,Precision,Precision_std,Recall,Recall_std,F1_macro,F1_macro_std,AUPRC,AUPRC_std,ROC_AUC,ROC_AUC_std
combined,LogisticRegression,OneHot,0.728,0.0011,0.731,0.0015,0.7273,0.0011,0.7267,0.0011,0.7712,0.0057,0.792,0.0028
combined,SVM,OneHot,0.7337,0.0007,0.7367,0.0001,0.733,0.0008,0.7324,0.001,0.7716,0.0054,0.7905,0.0026
combined,MLP,OneHot,0.732,0.0005,0.7331,0.001,0.7317,0.0007,0.7315,0.001,0.7795,0.0032,0.7993,0.0024
combined,LogisticRegression,Ordinal,0.7276,0.0002,0.7305,0.0005,0.727,0.0002,0.7264,0.0002,0.7709,0.0056,0.7916,0.0027
combined,SVM,Ordinal,0.7336,0.0011,0.7365,0.0005,0.733,0.0012,0.7324,0.0014,0.7707,0.0014,0.7899,0.0008
combined,MLP,Ordinal,0.7322,0.0004,0.7332,0.0002,0.7318,0.0005,0.7317,0.0007,0.7793,0.0025,0.7992,0.0016
lifestyle_only,LogisticRegression,OneHot,0.5195,0.0025,0.5261,0.0043,0.5163,0.0025,0.468,0.0023,0.5065,0.0013,0.5209,0.0018
lifestyle_only,SVM,OneHot,0.5201,0.0026,0.5255,0.0045,0.5171,0.0025,0.4757,0.0031,0.5064,0.001,0.5197,0.0016
lifestyle_only,MLP,OneHot,0.5199,0.0026,0.5256,0.0045,0.5169,0.0025,0.474,0.0044,0.5077,0.0019,0.5223,0.0026
lifestyle_only,LogisticRegression,Ordinal,0.5195,0.0025,0.5261,0.0043,0.5163,0.0025,0.468,0.0023,0.5065,0.0013,0.5209,0.0018
lifestyle_only,SVM,Ordinal,0.5201,0.0026,0.5255,0.0045,0.5171,0.0025,0.4757,0.0031,0.5063,0.0015,0.5187,0.0033
lifestyle_only,MLP,Ordinal,0.5198,0.0024,0.526,0.0037,0.5167,0.0024,0.4708,0.0048,0.5065,0.0013,0.5205,0.0014
biomedical_only,LogisticRegression,OneHot,0.7264,0.0031,0.7298,0.0031,0.7257,0.0031,0.725,0.0032,0.7701,0.0056,0.7903,0.0032
biomedical_only,SVM,OneHot,0.7319,0.0033,0.7352,0.0029,0.7312,0.0034,0.7305,0.0035,0.7696,0.0054,0.7871,0.0034
biomedical_only,MLP,OneHot,0.7306,0.003,0.7326,0.0041,0.7301,0.003,0.7297,0.003,0.7791,0.0058,0.7974,0.0024
biomedical_only,LogisticRegression,Ordinal,0.7258,0.0035,0.729,0.0035,0.7251,0.0035,0.7244,0.0035,0.7699,0.0054,0.7899,0.0032
biomedical_only,SVM,Ordinal,0.7322,0.0032,0.7355,0.0029,0.7315,0.0033,0.7308,0.0034,0.7689,0.0058,0.7867,0.0039
biomedical_only,MLP,Ordinal,0.7313,0.003,0.7335,0.0029,0.7307,0.003,0.7303,0.0031,0.7778,0.0042,0.7974,0.0031
