FeatureSet,Scaling,FeatureSelection,Model,Accuracy,Accuracy_std,F1_macro,F1_macro_std,AUPRC,AUPRC_std
combined,StandardScaler,none,LogisticRegression,0.727,0.0063,0.7254,0.0068,0.7643,0.0126
combined,StandardScaler,MI,LogisticRegression,0.727,0.0063,0.7254,0.0068,0.7643,0.0126
combined,StandardScaler,Chi2,LogisticRegression,0.7276,0.0068,0.726,0.0073,0.7646,0.0124
combined,StandardScaler,ANOVA,LogisticRegression,0.727,0.0063,0.7254,0.0068,0.7643,0.0126
combined,StandardScaler,L1,LogisticRegression,0.7284,0.0084,0.7268,0.0089,0.7641,0.0124
combined,StandardScaler,none,SVM,0.7265,0.0054,0.7251,0.0055,0.767,0.0038
combined,StandardScaler,MI,SVM,0.7272,0.0067,0.7258,0.0068,0.766,0.0022
combined,StandardScaler,Chi2,SVM,0.7276,0.0046,0.7262,0.0047,0.7644,0.0075
combined,StandardScaler,ANOVA,SVM,0.7275,0.0049,0.7259,0.005,0.7664,0.0047
combined,StandardScaler,none,MLP,0.7259,0.0036,0.7256,0.0036,0.7711,0.0031
combined,StandardScaler,MI,MLP,0.7259,0.0036,0.7256,0.0036,0.7711,0.0031
combined,StandardScaler,Chi2,MLP,0.7271,0.0063,0.7266,0.0065,0.7712,0.0032
combined,StandardScaler,ANOVA,MLP,0.7172,0.0095,0.7158,0.0091,0.7616,0.0183
combined,MinMaxScaler,none,LogisticRegression,0.7269,0.0086,0.7254,0.009,0.7629,0.0132
combined,MinMaxScaler,MI,LogisticRegression,0.7269,0.0086,0.7254,0.009,0.7629,0.0132
combined,MinMaxScaler,Chi2,LogisticRegression,0.7284,0.0073,0.7269,0.0076,0.7637,0.0129
combined,MinMaxScaler,ANOVA,LogisticRegression,0.7269,0.0086,0.7254,0.009,0.7629,0.0132
combined,MinMaxScaler,L1,LogisticRegression,0.7286,0.0071,0.727,0.0075,0.7641,0.0124
combined,MinMaxScaler,none,SVM,0.7207,0.0065,0.7193,0.0069,0.7603,0.0047
combined,MinMaxScaler,MI,SVM,0.7233,0.0102,0.7223,0.0099,0.768,0.006
combined,MinMaxScaler,Chi2,SVM,0.729,0.0061,0.7276,0.0064,0.7685,0.0036
combined,MinMaxScaler,ANOVA,SVM,0.7207,0.0065,0.7193,0.0069,0.7603,0.0047
combined,MinMaxScaler,none,MLP,0.72,0.0075,0.7172,0.0071,0.7601,0.0103
combined,MinMaxScaler,MI,MLP,0.7202,0.0079,0.7183,0.009,0.7637,0.0161
combined,MinMaxScaler,Chi2,MLP,0.7246,0.0129,0.7235,0.0132,0.7634,0.0167
combined,MinMaxScaler,ANOVA,MLP,0.7194,0.0064,0.7171,0.0069,0.7597,0.0095
lifestyle_only,StandardScaler,none,LogisticRegression,0.5194,0.0102,0.4765,0.0116,0.5088,0.0071
lifestyle_only,StandardScaler,MI,LogisticRegression,0.5201,0.0094,0.4744,0.0129,0.5079,0.0075
lifestyle_only,StandardScaler,Chi2,LogisticRegression,0.5194,0.0102,0.4765,0.0116,0.5088,0.0071
lifestyle_only,StandardScaler,ANOVA,LogisticRegression,0.5194,0.0102,0.4765,0.0116,0.5088,0.0071
lifestyle_only,StandardScaler,L1,LogisticRegression,0.5194,0.0102,0.4765,0.0116,0.5097,0.0059
lifestyle_only,StandardScaler,none,SVM,0.5228,0.0099,0.4706,0.0121,0.5073,0.0081
lifestyle_only,StandardScaler,MI,SVM,0.5228,0.0099,0.4706,0.0121,0.5073,0.0081
lifestyle_only,StandardScaler,Chi2,SVM,0.5228,0.0099,0.47,0.0128,0.5072,0.0082
lifestyle_only,StandardScaler,ANOVA,SVM,0.5228,0.0099,0.4706,0.0121,0.5073,0.0081
lifestyle_only,StandardScaler,none,MLP,0.5219,0.0095,0.4834,0.0116,0.507,0.0062
lifestyle_only,StandardScaler,MI,MLP,0.5198,0.0106,0.4777,0.0157,0.506,0.0058
lifestyle_only,StandardScaler,Chi2,MLP,0.5198,0.0106,0.4777,0.0157,0.5046,0.0066
lifestyle_only,StandardScaler,ANOVA,MLP,0.5219,0.0095,0.4834,0.0116,0.507,0.0062
lifestyle_only,MinMaxScaler,none,LogisticRegression,0.5194,0.0102,0.4765,0.0116,0.5088,0.0071
lifestyle_only,MinMaxScaler,MI,LogisticRegression,0.5194,0.0102,0.4765,0.0116,0.5087,0.0071
lifestyle_only,MinMaxScaler,Chi2,LogisticRegression,0.5194,0.0102,0.4765,0.0116,0.5088,0.0071
lifestyle_only,MinMaxScaler,ANOVA,LogisticRegression,0.5194,0.0102,0.4765,0.0116,0.5088,0.0071
lifestyle_only,MinMaxScaler,L1,LogisticRegression,0.5194,0.0102,0.4765,0.0116,0.5097,0.0059
lifestyle_only,MinMaxScaler,none,SVM,0.5228,0.0099,0.4706,0.0121,0.5073,0.0081
lifestyle_only,MinMaxScaler,MI,SVM,0.5228,0.0099,0.4706,0.0121,0.5073,0.0081
lifestyle_only,MinMaxScaler,Chi2,SVM,0.5228,0.0099,0.47,0.0128,0.5072,0.0082
lifestyle_only,MinMaxScaler,ANOVA,SVM,0.5228,0.0099,0.4706,0.0121,0.5073,0.0081
lifestyle_only,MinMaxScaler,none,MLP,0.5219,0.0095,0.4834,0.0116,0.507,0.0062
lifestyle_only,MinMaxScaler,MI,MLP,0.5198,0.0106,0.4771,0.0166,0.5057,0.0059
lifestyle_only,MinMaxScaler,Chi2,MLP,0.5198,0.0106,0.4777,0.0157,0.5046,0.0066
