FeatureSet,Model,Strategy1,Strategy2,Strategy1_F1,Strategy1_F1_std,Strategy2_F1,Strategy2_F1_std,Strategy1_AUPRC,Strategy2_AUPRC,Winner,Mean_Diff,Std_Diff
lifestyle_only,LogisticRegression,StandardScaler_none,StandardScaler_MI,0.4697,0.0025,0.443,0.0601,0.5065±0.0013,0.5045±0.0038,Tie,0.0267,0.0602
lifestyle_only,LogisticRegression,StandardScaler_none,StandardScaler_Chi2,0.4697,0.0025,0.4697,0.0025,0.5065±0.0013,0.5065±0.0013,Tie,0.0,0.0035
lifestyle_only,LogisticRegression,StandardScaler_none,StandardScaler_ANOVA,0.4697,0.0025,0.4697,0.0025,0.5065±0.0013,0.5065±0.0013,Tie,0.0,0.0035
lifestyle_only,LogisticRegression,StandardScaler_none,StandardScaler_L1,0.4697,0.0025,0.468,0.0023,0.5065±0.0013,0.5065±0.0013,Tie,0.0017,0.0034
lifestyle_only,LogisticRegression,StandardScaler_MI,StandardScaler_Chi2,0.443,0.0601,0.4697,0.0025,0.5045±0.0038,0.5065±0.0013,Tie,-0.0267,0.0602
lifestyle_only,LogisticRegression,StandardScaler_MI,StandardScaler_ANOVA,0.443,0.0601,0.4697,0.0025,0.5045±0.0038,0.5065±0.0013,Tie,-0.0267,0.0602
lifestyle_only,LogisticRegression,StandardScaler_MI,StandardScaler_L1,0.443,0.0601,0.468,0.0023,0.5045±0.0038,0.5065±0.0013,Tie,-0.025,0.0601
lifestyle_only,LogisticRegression,StandardScaler_Chi2,StandardScaler_ANOVA,0.4697,0.0025,0.4697,0.0025,0.5065±0.0013,0.5065±0.0013,Tie,0.0,0.0035
lifestyle_only,LogisticRegression,StandardScaler_Chi2,StandardScaler_L1,0.4697,0.0025,0.468,0.0023,0.5065±0.0013,0.5065±0.0013,Tie,0.0017,0.0034
lifestyle_only,LogisticRegression,StandardScaler_ANOVA,StandardScaler_L1,0.4697,0.0025,0.468,0.0023,0.5065±0.0013,0.5065±0.0013,Tie,0.0017,0.0034
lifestyle_only,LogisticRegression,MinMaxScaler_none,MinMaxScaler_MI,0.4697,0.0025,0.4694,0.0024,0.5065±0.0013,0.5061±0.0011,Tie,0.0003,0.0035
lifestyle_only,LogisticRegression,MinMaxScaler_none,MinMaxScaler_Chi2,0.4697,0.0025,0.4697,0.0025,0.5065±0.0013,0.5065±0.0013,Tie,0.0,0.0035
lifestyle_only,LogisticRegression,MinMaxScaler_none,MinMaxScaler_ANOVA,0.4697,0.0025,0.4697,0.0025,0.5065±0.0013,0.5065±0.0013,Tie,0.0,0.0035
lifestyle_only,LogisticRegression,MinMaxScaler_none,MinMaxScaler_L1,0.4697,0.0025,0.468,0.0023,0.5065±0.0013,0.5065±0.0013,Tie,0.0017,0.0034
lifestyle_only,LogisticRegression,MinMaxScaler_MI,MinMaxScaler_Chi2,0.4694,0.0024,0.4697,0.0025,0.5061±0.0011,0.5065±0.0013,Tie,-0.0003,0.0035
lifestyle_only,LogisticRegression,MinMaxScaler_MI,MinMaxScaler_ANOVA,0.4694,0.0024,0.4697,0.0025,0.5061±0.0011,0.5065±0.0013,Tie,-0.0003,0.0035
lifestyle_only,LogisticRegression,MinMaxScaler_MI,MinMaxScaler_L1,0.4694,0.0024,0.468,0.0023,0.5061±0.0011,0.5065±0.0013,Tie,0.0014,0.0033
lifestyle_only,LogisticRegression,MinMaxScaler_Chi2,MinMaxScaler_ANOVA,0.4697,0.0025,0.4697,0.0025,0.5065±0.0013,0.5065±0.0013,Tie,0.0,0.0035
lifestyle_only,LogisticRegression,MinMaxScaler_Chi2,MinMaxScaler_L1,0.4697,0.0025,0.468,0.0023,0.5065±0.0013,0.5065±0.0013,Tie,0.0017,0.0034
lifestyle_only,LogisticRegression,MinMaxScaler_ANOVA,MinMaxScaler_L1,0.4697,0.0025,0.468,0.0023,0.5065±0.0013,0.5065±0.0013,Tie,0.0017,0.0034
lifestyle_only,SVM,StandardScaler_none,StandardScaler_MI,0.4757,0.0031,0.4757,0.0031,0.5058±0.0016,0.5058±0.0016,Tie,0.0,0.0044
lifestyle_only,SVM,StandardScaler_none,StandardScaler_Chi2,0.4757,0.0031,0.4757,0.0031,0.5058±0.0016,0.5058±0.0016,Tie,0.0,0.0044
lifestyle_only,SVM,StandardScaler_none,StandardScaler_ANOVA,0.4757,0.0031,0.4757,0.0031,0.5058±0.0016,0.5058±0.0016,Tie,0.0,0.0044
lifestyle_only,SVM,StandardScaler_MI,StandardScaler_Chi2,0.4757,0.0031,0.4757,0.0031,0.5058±0.0016,0.5058±0.0016,Tie,0.0,0.0044
